,上映时间,主演,电影名,评分
46,1995-05-24(美国),"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",勇敢的心,8.8
47,2011-05-12,"范•迪塞尔,保罗·沃克,道恩·强森",速度与激情5,9.2
48,2010-05-14,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",驯龙高手,9.0
49,2010-07-09(美国),"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",神偷奶爸,9.0
50,2009-08-04,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",飞屋环游记,8.9
51,2014-10-24,"周星驰,莫文蔚,吴孟达",大话西游之月光宝盒,9.6
52,2003-11-05,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",黑客帝国3：矩阵革命,8.8
53,1992-12-23(美国),"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",闻香识女人,8.8
54,2010-08-06(美国),"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",怦然心动,8.9
55,2006-01-13(美国),"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",断背山,9.0
56,2011-12-08,"阿米尔·汗,黄渤,卡琳娜·卡普",三傻大闹宝莱坞,9.1
57,2006-10-20(美国),"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",致命魔术,8.8
58,1975-11-19(美国),"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",飞越疯人院,8.8
59,2000-05-12(法国戛纳),"姜文,姜宏波,陈强",鬼子来了,8.9
60,1984-02-17(美国),"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",美国往事,9.1
61,2012-11-22,"苏拉·沙玛,伊尔凡·可汗,塔布",少年派的奇幻漂流,9.1
62,2012-08-27,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",蝙蝠侠：黑暗骑士崛起,8.9
63,2001-12-21(美国),"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",美丽心灵,8.8
64,1994-11-11(美国),"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",夜访吸血鬼,8.8
65,2011-08-04,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",哈利·波特与死亡圣器（下）,9.0
66,2011-04-30,"张国荣,王祖贤,午马",倩女幽魂,9.2
67,2002-09-25(法国),"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",钢琴家,8.8
68,2008-12-25(美国),"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",本杰明·巴顿奇事,8.8
69,2012-11-06,"约翰·C·赖利,萨拉·西尔弗曼,简•林奇",无敌破坏王,9.0
70,1989-07-29(日本),"高山南,佐久间玲,户田惠子",魔女宅急便,8.8
71,2011-09-22(韩国),"孔刘,郑有美,金智英",熔炉,8.8
72,2012-06-05,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",初恋这件小事,8.8
73,2014-10-24,"周星驰,朱茵,莫文蔚",大话西游之大圣娶亲,8.8
74,2012-02-24,"张曼玉,Tony Leung,甄子丹",新龙门客栈,8.8
75,2011-11-02(法国),"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",触不可及,9.1
76,2015-02-13,"黎明,张曼玉,曾志伟",甜蜜蜜,9.2
77,2013-10-02(韩国),"李来,薛耿求,严志媛",素媛,9.1
78,1999-01-22(美国),"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",小鞋子,9.1
79,2011-09-17(日本),"内山昂辉,佐仓绫音,后藤弘树",萤火之森,9.0
80,2013-09-04(英国),"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",时空恋旅人,8.9
81,2008-09-12(英国),"阿沙·巴特菲尔德,维拉·法梅加,大卫•休里斯",穿条纹睡衣的男孩,9.0
82,2006-03-23(德国),"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·戈黛特",窃听风暴,9.0
83,2007-12-21(印度),"塔奈·切赫达,阿米尔·汗,达席尔·萨法瑞",地球上的星星,8.8
84,2013-07-31(韩国),"河正宇,李璟荣,李大为",恐怖直播,8.8
85,2010-07-17(日本),"志田未来,神木隆之介,大竹忍",借东西的小人阿莉埃蒂,8.8
86,2013-01-23(韩国),"柳承龙,郑镇荣,朴信惠",7号房的礼物,8.9
87,2009-07-31(美国),"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",海豚湾,8.9
88,1987-08-01(日本),"仲代达矢,春川真澄,井川比佐志",忠犬八公物语,9.0
89,2002-08-30(巴西),"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",上帝之城,8.9
90,2013-12-18(韩国),"宋康昊,郭度沅,吴达洙",辩护人,8.8
91,1954-04-26(日本),"三船敏郎,志村乔,千秋实",七武士,9.1
92,2000-09-20(法国),"吴念真,Elaine Jin,李凯莉",一一,8.9
93,1993-11-24(美国),"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",完美的世界,8.9
94,2011-08-12,"雅克·贝汉,姜文,兰斯洛特·佩林",海洋,9.0
95,2002-04-05(韩国),"俞承豪,金艺芬,童孝熙",爱·回家,9.0
96,1966-12-23(意大利),"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",黄金三镖客,8.9
97,2011-02-17(韩国),"宋在浩,李顺才,尹秀晶",我爱你,9.0
98,2001-12-12(法国),"雅克·贝汉,Philippe Labro",迁徙的鸟,9.1
99,2017-11-17,"狄龙,张国荣,周润发",英雄本色,9.2
