,单价,总价,户型,月供,朝向,标题,楼层,装修,面积
25,23487 元/m²,232万,3室2厅,"
13664元 ",南,"
      南沙时代长岛中高楼层精装三房正南向看山 生活方便 地铁口旁  ",中层(共30层),精装修,98.8平方米
26,18332 元/m²,178万,3室2厅,"
10484元 ",南,"
      碧桂园玺悦 720度全景看房 手上有97方内部单位 欢迎致电  ",中层(共32层),精装修,97.1平方米
27,16561 元/m²,156万,3室2厅,"
9188元 ",南,"
      来电送2年管理费可折现 可公积金贷款 阳光城丽景湾  ",中层(共33层),精装修,94.2平方米
28,16569 元/m²,155万,3室2厅,"
9129元 ",南北,"
      南沙阳光城，送精装修，95平带主套，南北通透，找我有额外折扣  ",中层(共30层),精装修,93.6平方米
29,16337 元/m²,153万,3室2厅,"
9011元 ",南,"
      越秀滨海新城 首付13万起 首付免息分期 带学位 地铁口  ",中层(共33层),精装修,93.7平方米
30,32222 元/m²,290万,3室2厅,"
17080元 ",西南,"
      云山居(白云）3室290万低楼层，南向，随时看房  ",低层(共6层),精装修,90平方米
31,34940 元/m²,290万,3室2厅,"
17080元 ",南北,"
      洛涛北区 豪装三房带40方单边花园 已搭建玻璃房，送家私电  ",低层(共6层),豪华装修,83平方米
32,21701 元/m²,211万,3室2厅,"
12427元 ",南,"
      海御城 精装3房 户型好 小区位置优越 地铁口 价格便宜  ",中层(共32层),精装修,97.2平方米
33,22531 元/m²,285万,3室2厅,"
16786元 ",南,"
      滨海珺城 全新南向大三房 满两年 入读广外 近地铁  ",低层(共30层),精装修,126.5平方米
34,17429 元/m²,146万,3室2厅,"
8599元 ",南,"
      VR全景 阳光城丽景湾单合同 万达旁 儿童公园 江景房 澜悦  ",低层(共32层),精装修,83.8平方米
35,8941 元/m²,76万,3室2厅,"
3481元 ",南,"
      业主急售 精装房 家私 就读名校 地铁口 产权清晰 车位  ",中层(共8层),精装修,85平方米
36,36625 元/m²,293万,3室2厅,"
17257元 ",南北,"
      VR全景看房侨兴苑三房293万 格局好 望花园安静地，铁上盖  ",高层(共9层),精装修,80平方米
37,16210 元/m²,135万,3室2厅,"
7951元 ",南,"
      首付一成免息分期 带省级华师附中 来电送五年管理费  ",中层(共32层),精装修,83.3平方米
38,29730 元/m²,294万,3室2厅,"
17316元 ",南,"
      海湾一号 中高楼层 大三房带主套 就读华师附小中 随时看房  ",中层(共30层),精装修,98.9平方米
39,17813 元/m²,173万,4室2厅,"
10189元 ",南北,"
      碧桂园玺悦 全新一手房 带学位 带装修 送车位 一线海景房  ",中层(共11层),豪华装修,97.1平方米
40,31267 元/m²,290万,3室2厅,"
17080元 ",南北,"
      金沙洲保利物业 地铁位置 实用3房双主套 五年唯一 有钥匙看  ",中层(共11层),豪华装修,92.8平方米
41,25244 元/m²,246万,3室2厅,"
14489元 ",南,"
      （全新未住）业主急需名额换房 低于市场价出售 可用公积金  ",中层(共32层),精装修,97.5平方米
42,31868 元/m²,290万,3室2厅,"
17080元 ",南北,"
      怡园小区 入读怡园西校区 中层刚需三房 交通便利  ",中层(共8层),简单装修,91平方米
43,29897 元/m²,290万,3室2厅,"
17080元 ",南,"
      集贤苑 * 真实图片 学位未占用 产权清晰 欢迎来电  ",高层(共11层),精装修,97平方米
44,18534 元/m²,180万,3室2厅,"
10601元 ",南,"
      碧桂园玺悦 双地铁山海景观 内部95折买精装4房 单合同  ",低层(共32层),精装修,97.1平方米
45,19045 元/m²,158万,3室2厅,"
9306元 ",南,"
      碧桂园玺悦 内部保留单位均价2万 来电有 还送管理费  ",中层(共32层),精装修,83平方米
46,16227 元/m²,153万,3室2厅,"
9011元 ",南,"
      滨海新城 南沙自贸区中心 送产权车位 内部特价单位 欢迎致电  ",中层(共32层),精装修,94.3平方米
47,16168 元/m²,139万,3室2厅,"
8187元 ",南,"
      内部认购送产权车位 小区自带省级九年义务教育 欢迎来电  ",中层(共32层),精装修,86平方米
48,17110 元/m²,148万,3室2厅,"
8717元 ",南北,"
      阳光城丽景湾 南沙万达地铁 渠道减8万买精装3房 内部转名  ",中层(共33层),豪华装修,86.5平方米
49,20040 元/m²,198万,3室2厅,"
11662元 ",南,"
      碧桂园玺悦 720度全景看房 无需来访楼盘来电更送5年管理费  ",中层(共32层),精装修,98.8平方米
50,10227 元/m²,90万,3室2厅,"
4122元 ",南北,"
      新小区的环境，老小区的价格，精装修房子忍痛割爱，楼层佳  ",低层(共26层),精装修,88平方米
51,20137 元/m²,188万,3室2厅,"
11073元 ",东南,"
      丰庭花园 精装3房两卫 享受周边配套 业主诚心出  ",中层(共15层),精装修,93.4平方米
52,22385 元/m²,290万,3室2厅,"
17080元 ",东南,"
      （创鸿南沙一品）三房两厅，中层，南北对流，地铁口物业，随时看  ",低层(共32层),毛坯,129.6平方米
53,16451 元/m²,155万,3室2厅,"
9129元 ",南,"
      真实一手，看房找我额外送5年管理费，首付50万，阳光城熙悦  ",中层(共30层),精装修,94.2平方米
54,27121 元/m²,265万,3室2厅,"
15608元 ",东北,"
      （滨海御城）金州地铁，万达旁，金隆小学，配套完善，急售随时看  ",低层(共32层),精装修,97.7平方米
55,17898 元/m²,148万,3室2厅,"
8717元 ",南,"
      阳光城 首付40万买3房 一手免费代理 来电享额外8折  ",中层(共32层),精装修,82.7平方米
56,16581 元/m²,145万,3室2厅,"
8540元 ",东南,"
      内部转名 金洲地铁口 万达旁 一口价单位 145万一套  ",低层(共32层),精装修,87.5平方米
57,10000 元/m²,85万,3室2厅,"
3893元 ",东南,"
      36 敏捷君御国际 交通便利 成熟配套 安静舒适 看房方便  ",中层(共32层),精装修,85平方米
58,29114 元/m²,290万,3室2厅,"
17080元 ",北,"
      雅居乐雍华廷 三房南北通透 户型实用 出门地铁口 配套成熟  ",高层(共11层),精装修,99.6平方米
59,30769 元/m²,280万,3室2厅,"
16491元 ",南北,"
      急卖 晓港湾 私产过五年 3楼偏单 东南西朝向 采光足  ",低层(共9层),精装修,91平方米
60,20440 元/m²,186万,3室2厅,"
10955元 ",南,"
      越秀东坡 单合同 全新加推 额外95折 一成首付 可分期  ",中层(共33层),精装修,91平方米
61,19231 元/m²,175万,3室2厅,"
10307元 ",南,"
      越秀东坡 近地铁 单合同 送车位 额外98折另送管理费带学位  ",低层(共33层),精装修,91平方米
62,20947 元/m²,199万,3室2厅,"
11721元 ",南,"
      南沙水恋 开发商年底冲业绩 内部团购 额外95折再5年物业  ",中层(共28层),精装修,95平方米
63,18636 元/m²,164万,3室2厅,"
9659元 ",南,"
      万科海上明月 江景三房 带学位可公积金 额外98折加送管理费  ",低层(共32层),精装修,88平方米
64,16545 元/m²,157万,3室2厅,"
9247元 ",南,"
      越秀滨海新城 一口价单位 单合同首付可分期 来电送5年管理费  ",中层(共32层),精装修,94.9平方米
65,16274 元/m²,150万,3室2厅,"
8834元 ",南,"
      实用3加1户型 单合同 可公积金 越秀让利 即送五年管理费  ",中层(共31层),精装修,92.2平方米
66,16459 元/m²,156万,3室2厅,"
9188元 ",南,"
      首付1成 越秀滨海新城  免息1年 金洲地铁口旁 带省级学位  ",低层(共32层),精装修,94.8平方米
67,22247 元/m²,198万,3室2厅,"
11662元 ",南,"
      （无名额也可购买）南沙湾区香海彼岸一成首付上车单价21000  ",低层(共31层),精装修,89平方米
68,16842 元/m²,160万,3室2厅,"
9423元 ",北,"
      雅居乐锦城 比邻保利花城 毛坯三房 税费低 学位未占用  ",低层(共32层),毛坯,95平方米
69,17422 元/m²,168万,3室2厅,"
9895元 ",南北,"
      可公积金 客退单位 看房可打8折仅限一套 阳光城丽景湾  ",低层(共30层),精装修,96.4平方米
70,17553 元/m²,165万,3室2厅,"
9718元 ",南,"
      阳光城丽景湾 12月冲业绩首付一成 免息分期半年 送管理费  ",低层(共33层),精装修,94平方米
71,18846 元/m²,160万,3室2厅,"
9423元 ",东南,"
      1成首付，送车位，送管理费，碧桂园玺悦，错过不在有，看房找我  ",中层(共32层),豪华装修,84.9平方米
72,16274 元/m²,150万,3室2厅,"
8834元 ",南,"
      越秀滨海新城 交通便利 万达商圈 精装大三房 来电享团购优惠  ",中层(共32层),精装修,92.2平方米
73,20514 元/m²,170万,3室2厅,"
10012元 ",南,"
      首付10万 可公积金 带省级 依山望海 碧桂园玺悦  ",中层(共30层),精装修,82.9平方米
74,17907 元/m²,154万,3室2厅,"
9070元 ",南北,"
      阳光城（熙悦）内部转名南向86方中高层单位 首付46万带装修  ",低层(共33层),精装修,86平方米
75,19268 元/m²,178万,3室2厅,"
10484元 ",东南,"
      中新知识城标杆 招商雍雍景湾 超高使用率 中高层南北  ",低层(共32层),精装修,92.4平方米
76,24286 元/m²,199万,3室2厅,"
11721元 ",东南,"
      （金隆学校）万达商圈 时代云图 证过二 总价低 至笋三房  ",高层(共18层),精装修,81.9平方米
77,19247 元/m²,179万,3室2厅,"
10543元 ",南,"
      越秀东坡 内部转名特价 产权清晰 地铁三百米 单合同低首付  ",中层(共32层),豪华装修,93平方米
78,16220 元/m²,153万,3室2厅,"
9011元 ",南,"
      153万买南沙金州商圈内四房二卫，小区幼儿园到高中。  ",低层(共25层),精装修,94.3平方米
79,20122 元/m²,171万,3室2厅,"
10071元 ",南,"
      碧桂园玺悦 本人成交这里的销 冠 看过的朋友找我拿内 部 价  ",中层(共25层),精装修,85平方米
80,19670 元/m²,179万,3室2厅,"
10543元 ",南,"
      越秀东坡 南沙自贸区 地铁15号线蝴蝶洲站单合同送车位  ",高层(共28层),精装修,91平方米
81,19300 元/m²,150万,3室2厅,"
8834元 ",南,"
      圣淘沙 今洲中心 繁华配套 找我看房享额外折扣优惠  ",中层(共26层),毛坯,77.7平方米
82,20921 元/m²,198万,3室2厅,"
11662元 ",南,"
      中航城 教育城核心快站地铁口旁 买层层复试 20天河  ",低层(共32层),精装修,94.6平方米
83,18817 元/m²,175万,3室2厅,"
10307元 ",南,"
      碧桂园天玺湾 南向三房 证满两年税费少 带学位可公积金  ",低层(共25层),精装修,93平方米
84,18495 元/m²,188万,3室2厅,"
11073元 ",南北,"
      （碧桂园天玺湾）业主急售，跳楼价，三房两厅，高层，一线海景。  ",低层(共1层),精装修,101.7平方米
85,19892 元/m²,185万,3室2厅,"
10896元 ",南,"
      地铁盘）中国铁建花园 南向实用三房 赠 送面积多 有钥匙可看  ",低层(共26层),精装修,93平方米
86,16496 元/m²,156万,3室2厅,"
9188元 ",南,"
      （年末钜惠）内部转让单位 可做一成首付 名额有限 滨海新城  ",中层(共31层),精装修,94.6平方米
87,18581 元/m²,165万,3室2厅,"
9718元 ",南北,"
      30 万科府前一号 成熟配套 交通便利 精致三房 看房方便  ",低层(共29层),精装修,88.8平方米
88,16940 元/m²,157万,3室2厅,"
9247元 ",南,"
      越秀滨海新城 品牌开发商 找我可操作旧带新额外优惠，团购看房  ",中层(共33层),精装修,92.7平方米
89,17611 元/m²,174万,3室2厅,"
10248元 ",南,"
      碧桂园玺悦98方东南向望海 来电享95折 带装修 省级学位  ",中层(共32层),豪华装修,98.8平方米
90,18371 元/m²,180万,3室2厅,"
10601元 ",南北,"
      VR全景 南沙保利城 低首付单合同 地铁口700米 可公积金  ",低层(共32层),精装修,98平方米
91,16205 元/m²,151万,3室2厅,"
8893元 ",南,"
      越秀滨海新城 内部特价 精装三房不限楼层 教育一站式  ",低层(共32层),精装修,93.2平方米
92,18067 元/m²,158万,3室2厅,"
9306元 ",东南,"
      越秀滨海新城 地铁4号线金洲站 华师省级学位 内部单位  ",中层(共32层),精装修,87.5平方米
93,20110 元/m²,183万,3室2厅,"
10778元 ",南,"
      越秀东坡 单合同近地铁 买房送车位 带省一级学位 找我享特价  ",低层(共33层),精装修,91平方米
94,18116 元/m²,170万,3室2厅,"
10012元 ",南,"
      (现房出售）二期内部转名单位 无需任何费用 急出手 幸福誉  ",低层(共32层),精装修,93.8平方米
95,21444 元/m²,193万,3室2厅,"
11367元 ",南,"
      方圆南沙水恋，工程款内部转名，送产权车位，急转名卖，来电看房  ",中层(共32层),精装修,90平方米
96,17073 元/m²,168万,3室2厅,"
9895元 ",南,"
      笋盘来袭）西福蓝湾 正南向楼1王三房 望花园无遮挡 带幼儿园  ",低层(共26层),精装修,98.4平方米
97,17803 元/m²,158万,3室2厅,"
9306元 ",南,"
      南沙保利城 4号线地铁旁 南北对流 送精装 带省级学位  ",中层(共33层),精装修,88.8平方米
98,21667 元/m²,195万,3室2厅,"
11485元 ",东南,"
      蕉门区府旁 合景方圆叠翠台 业主诚心放卖 地铁物业 南向三房  ",中层(共30层),精装修,90平方米
99,17655 元/m²,150万,3室2厅,"
8834元 ",东南,"
      金州南沙金湾 84方3房 精装东南向 业主急售仅售150万  ",低层(共28层),精装修,85平方米
100,16578 元/m²,158.2万,3室2厅,"
9317元 ",南,"
      (特惠单位）全新加推10内部保留单位 即买即收楼 滨海新城  ",中层(共31层),精装修,95.4平方米
101,16602 元/m²,171万,3室2厅,"
10071元 ",南,"
      想买滨海新城可找我 帮你拿送管理费 决对低于现场价位  ",中层(共33层),精装修,103平方米
102,19828 元/m²,184万,3室2厅,"
10837元 ",南,"
      VR全景看房 时代长岛 三期 （全新未住） 均价19500  ",低层(共32层),精装修,92.8平方米
103,20367 元/m²,173万,3室2厅,"
10189元 ",南北,"
      碧桂园玺悦 精装海景3房 可公积金 单合同 送车位 地铁旁  ",中层(共11层),豪华装修,84.9平方米
104,17808 元/m²,150万,3室2厅,"
8834元 ",南,"
      熙悦内部团购单位 首付仅一成 带重点学位 万达商圈 送管理费  ",中层(共31层),精装修,84.2平方米
105,20475 元/m²,182万,3室2厅,"
10719元 ",南,"
      地铁物业 南向精装三房 学位户口 现楼 有红本 星河山海湾  ",中层(共32层),精装修,88.9平方米
106,16274 元/m²,150万,3室2厅,"
8834元 ",南,"
      越秀新城 一口价特价单位 楼层任选 可公积金 来电赠送管理费  ",中层(共31层),精装修,92.2平方米
107,17516 元/m²,165万,3室2厅,"
9718元 ",南,"
      阳光城熙悦 精装南向3房 读华师附二中 内部单位 有意来电  ",中层(共33层),精装修,94.2平方米
108,18438 元/m²,177万,3室2厅,"
10425元 ",南,"
      金洲地铁口 精装大3房 南北对流 业主急售 可谈万科府前一号  ",中层(共32层),精装修,96平方米
109,16238 元/m²,152万,3室2厅,"
8952元 ",南北,"
      93方(团购价140万楼层任选)12年教育 可公积金 南向  ",中层(共33层),豪华装修,93.6平方米
110,16804 元/m²,163万,3室2厅,"
9600元 ",南北,"
      保利城 内部认购 双地铁 可公积金 名额有限来电送物业管理费  ",中层(共32层),精装修,97平方米
111,21829 元/m²,195万,3室2厅,"
11485元 ",南,"
      （3D实拍）店长力荐 天玺湾南向一线望海小三房 急卖195万  ",中层(共17层),精装修,89.3平方米
112,19898 元/m²,195万,3室2厅,"
11485元 ",东南,"
      越秀东坡 金洲近地铁 山景精装3房 单合同 送车位  ",低层(共27层),精装修,98平方米
113,17021 元/m²,160万,3室2厅,"
9423元 ",南,"
      阳光城熙悦 送五年管理费 首付50万 自贸区 di铁旁物业  ",中层(共30层),精装修,94平方米
114,16998 元/m²,152万,3室2厅,"
8952元 ",东南,"
      南沙保利城 央企大盘 来电享内部团购价 再送5年管理费  ",中层(共32层),精装修,89.4平方米
115,17442 元/m²,150万,3室2厅,"
8834元 ",南,"
      熙悦15 A（只剩这一栋 错过不在）内部关系折扣 购买送家电  ",低层(共32层),精装修,86平方米
116,19780 元/m²,180万,3室2厅,"
10601元 ",南,"
      越秀东坡 总价180万楼层任选 团购送5年管理费  ",低层(共32层),精装修,91平方米
117,17874 元/m²,170万,3室2厅,"
10012元 ",南,"
      时代领峰95平方 信真实 不买后悔 低首付免息分期  ",低层(共31层),简单装修,95.1平方米
118,16994 元/m²,160万,3室2厅,"
9423元 ",南北,"
      阳光城熙悦 *后一栋 金洲地 铁 口万达旁首付45万起  ",高层(共32层),精装修,94.2平方米
119,17305 元/m²,155万,3室2厅,"
9129元 ",东南,"
      单合同 自贸区板块 3地铁交汇处 团购优惠减6万 名额有限  ",中层(共32层),精装修,89.6平方米
120,16152 元/m²,139万,3室2厅,"
8187元 ",南,"
      越秀滨海新城 团购专场，可做一成首付 前十名额外送5年管理费  ",中层(共32层),精装修,86.1平方米
121,17638 元/m²,155万,3室2厅,"
9129元 ",东南,"
      保利城南悦湾 内部保利 近地铁 单合同 首付低 可公积金  ",中层(共33层),精装修,87.9平方米
122,16279 元/m²,140万,3室2厅,"
8245元 ",南,"
      南沙越秀国际总部广场 地铁4号线旁 不限购 5米复式 配套成  ",低层(共30层),精装修,86平方米
123,16901 元/m²,150万,3室2厅,"
8834元 ",南北,"
      保利精装3房 南北对流 客户首期不够退订 无需任何费用  ",低层(共32层),精装修,88.8平方米
124,16632 元/m²,158万,3室2厅,"
9306元 ",东南,"
      恒大山水城    （家电全送）房东诚心出售，性价比超高。  ",低层(共30层),精装修,95平方米
125,15269 元/m²,142万,3室1厅,"
8363元 ",北,"
      云水雅苑 横沥地铁旁  近明珠湾 超笋盘 带生活阳台  ",中层(共25层),简单装修,93平方米
126,17051 元/m²,142万,3室2厅,"
8363元 ",南,"
      阳光城丽景湾熙悦（南沙金洲）华师附中学位房，望儿童公园，望江  ",中层(共32层),精装修,83.3平方米
127,18377 元/m²,156万,3室2厅,"
9188元 ",南,"
      VR全景 碧桂园双地铁海景小三房 近地铁 万达旁  南北对流  ",中层(共30层),精装修,84.9平方米
128,17069 元/m²,150万,3室2厅,"
8834元 ",南,"
      保利南悦湾 团购立减8万 带学位 可公积金 来电还赠送管理费  ",中层(共31层),精装修,87.9平方米
129,16511 元/m²,150万,3室2厅,"
8834元 ",南,"
      （合生君景湾）学位房，总价低，近地铁，配套齐，可议价，急售  ",高层(共30层),精装修,90.9平方米
130,16931 元/m²,140万,3室2厅,"
8245元 ",东南,"
      阳光城熙悦 送五年管理费 首付30万 自贸区 di铁旁物业  ",低层(共32层),精装修,82.7平方米
131,19231 元/m²,150万,3室2厅,"
8834元 ",南,"
      万科海上明月 内部转名 认购送5年管理费 额外98折 来电看  ",中层(共32层),精装修,78平方米
132,17655 元/m²,150万,3室2厅,"
8834元 ",东南,"
      （南沙金湾）三房两厅，东南向，精装修，随时看房，南沙中心地段  ",低层(共32层),精装修,85平方米
133,16782 元/m²,158万,3室2厅,"
9306元 ",南,"
      阳光城丽景湾澜悦 720度全景看房 有几套工程款单位欢迎咨询  ",低层(共32层),精装修,94.2平方米
134,16521 元/m²,153万,3室2厅,"
9011元 ",东南,"
      滨海新城 南向精装三房 金洲地铁旁 首付免息分期一年 单合同  ",低层(共32层),精装修,92.6平方米
135,18607 元/m²,155万,3室2厅,"
9129元 ",南,"
      阳光城一手单合同 地段位置比较好 带装修免金专看房  ",低层(共32层),精装修,83.3平方米
136,14286 元/m²,130万,3室2厅,"
7656元 ",南,"
      1成首付单合同 买房送车位 来回接送 来电享95折 欢迎致电  ",中层(共32层),精装修,91平方米
137,14674 元/m²,135万,3室2厅,"
7951元 ",南北,"
      桥景园 随时可看 周边配套成熟 带省一级学位 稀有房源！  ",低层(共32层),精装修,92平方米
138,15191 元/m²,145万,3室2厅,"
8540元 ",东南,"
      新鸿基御华园 高层东南向三房望水库 无遮挡 证够两年总价低  ",高层(共31层),毛坯,95.5平方米
139,14286 元/m²,130万,3室2厅,"
7656元 ",北,"
      大岗新联新村别墅 业主诚心放卖 价格可以谈 看房提前约  ",低层(共30层),简单装修,91平方米
140,16111 元/m²,145万,3室2厅,"
8540元 ",南北,"
      广州绿地城 业主直降8万 省钱就是赚钱 不买后悔  ",中层(共30层),精装修,90平方米
141,16882 元/m²,145万,3室2厅,"
8540元 ",南北,"
      优美的蕉门河畔旁精装三房 值得拥有  ",中层(共31层),精装修,85.9平方米
142,15694 元/m²,153万,3室2厅,"
9011元 ",东北,"
      万科幸福誉 知识城旗舰大盘 地铁50米 送市二中学位 学位房  ",中层(共31层),精装修,97.5平方米
143,16293 元/m²,130万,3室2厅,"
7656元 ",南,"
      塞纳河畔 万达旁 焦门河风景 坐拥城市繁华 来电97折  ",中层(共25层),精装修,79.8平方米
144,15340 元/m²,131万,3室2厅,"
7715元 ",南,"
      南沙广隆苑（业主急售中）近地铁 笋！ 看房人较多 请提前预约  ",中层(共18层),精装修,85.4平方米
145,16205 元/m²,151万,3室2厅,"
8893元 ",南,"
      越秀滨海新城 内部特价 精装三房不限楼层 教育一站式  ",低层(共32层),精装修,93.2平方米
146,19300 元/m²,150万,3室2厅,"
8834元 ",南,"
      圣淘沙 今洲中心 繁华配套 找我看房享额外折扣优惠  ",中层(共26层),毛坯,77.7平方米
147,18750 元/m²,120万,3室2厅,"
7067元 ",东,"
      南沙万达广场 可明火产权公寓 可下个人名字 首付只需两成  ",中层(共31层),精装修,64平方米
148,16163 元/m²,153万,3室2厅,"
9011元 ",东南,"
      越秀滨海新城 首付10万 成功认购送3年管理费 欢迎致电  ",中层(共32层),精装修,94.7平方米
149,16463 元/m²,155万,3室2厅,"
9129元 ",南北,"
      南沙金洲版块 阳光城 全新加推 自贸区红利 95折优惠起  ",高层(共33层),豪华装修,94.2平方米
150,19750 元/m²,158万,3室2厅,"
9306元 ",东南,"
      自贸区南沙金茂湾 单合同首付2成 4号线300米 可公积金!  ",低层(共31层),豪华装修,80平方米
151,13668 元/m²,128万,3室2厅,"
7539元 ",东南,"
      金地荔湖城，证满两年，轻轨旁，产权清晰，业主包税，来电看房  ",中层(共32层),精装修,93.7平方米
152,16511 元/m²,150万,3室2厅,"
8834元 ",南,"
      学位房（合生君景湾）地段好，环境好，配套好，交通好，地铁物业  ",高层(共30层),精装修,90.9平方米
153,15412 元/m²,139万,3室2厅,"
8187元 ",南,"
      金沙半岛 精装三房 一线望江 间隔方正 随时看房  ",低层(共33层),精装修,90.2平方米
154,16199 元/m²,150万,3室2厅,"
8834元 ",东南,"
      中航城花园 21号线 内部保留单位首付45即可 年底促销优惠  ",低层(共30层),精装修,92.6平方米
155,15000 元/m²,135万,3室2厅,"
7951元 ",南,"
      时代领峰 34号线双地铁 时代年底大让利 买房正当时  ",中层(共32层),简单装修,90平方米
156,14989 元/m²,140万,3室2厅,"
8245元 ",南,"
      新收盘！保利南悦湾 全新未入住 首付25万买三房 地铁4号线  ",中层(共32层),精装修,93.4平方米
157,12500 元/m²,120万,3室2厅,"
7067元 ",东南,"
      （真实在售）绿湖国际城 业主包重税 证未满两年 无奈底价出售  ",中层(共32层),精装修,96平方米
158,19250 元/m²,154万,3室2厅,"
9070元 ",南,"
      南沙自贸区 越秀东坡 地铁口单位 带省级学位 金洲万达商圈  ",中层(共32层),精装修,80平方米
159,21426 元/m²,210万,3室2厅,"
12368元 ",东北,"
      碧桂园天玺湾三房 一线湖景 装修保养好 可公积金 配合低首付  ",低层(共30层),精装修,98平方米
160,19584 元/m²,190万,3室2厅,"
11190元 ",南,"
      碧桂园玺悦 海景洋房 低首付 年底特惠97折另送5年管理费  ",低层(共31层),精装修,97平方米
161,13189 元/m²,122万,3室2厅,"
7185元 ",南,"
      精装3房保养新 税费低 业主诚心出售 有意致电 公园上城  ",中层(共30层),精装修,92.5平方米
162,16166 元/m²,155万,3室2厅,"
9129元 ",南,"
      阳光城澜悦 可做一成首付 内部转让单位 来电送管理费  ",中层(共32层),精装修,95.9平方米
163,13298 元/m²,125万,3室2厅,"
7362元 ",南北,"
      广州佳兆业 可个人购买 门口地铁13号线 一层送一层 超划算  ",中层(共32层),精装修,94平方米
