,设备号,统计时间,用户号,频道,回看开始时间,回看结束时间,回看时长.时.,新回看时长
131,10020,20170924,10435,湖南卫视-高清,2017-09-24 13:54:40,2017-09-24 14:15:11,0.2531,1231.0
133,10020,20170926,10435,湖南卫视-高清,2017-09-26 20:50:40,2017-09-26 22:37:53,1.1556,6433.0
135,10027,20170805,10884,浙江卫视-高清,2017-08-05 12:37:18,2017-08-05 14:00:24,0.0067,4986.0
137,10027,20170815,10884,翡翠台,2017-08-15 14:06:35,2017-08-15 14:28:00,0.3569,1285.0
138,10027,20170820,10884,浙江卫视-高清,2017-08-20 15:41:25,2017-08-20 17:17:08,1.2856,5743.0
139,10027,20170820,10884,浙江卫视-高清,2017-08-20 14:50:56,2017-08-20 15:29:10,0.6372,2294.0
140,10027,20170820,10884,浙江卫视-高清,2017-08-20 14:14:09,2017-08-20 14:49:12,0.5842,2103.0
142,10031,20170702,11153,湖南卫视-高清,2017-07-02 19:53:36,2017-07-02 21:14:10,1.2361,4834.0
144,10031,20170702,11153,南方卫视,2017-07-02 13:18:28,2017-07-02 13:27:30,0.1506,542.0
145,10031,20170702,11153,浙江卫视-高清,2017-07-02 12:55:15,2017-07-02 12:57:05,0.0306,110.0
146,10031,20170702,11153,南方卫视,2017-07-02 13:02:28,2017-07-02 13:18:11,0.2619,943.0
147,10031,20170702,11153,浙江卫视-高清,2017-07-02 11:37:35,2017-07-02 12:54:25,0.9069,4610.0
149,10031,20170703,11153,翡翠台,2017-07-03 13:44:24,2017-07-03 13:53:33,0.1525,549.0
150,10031,20170703,11153,翡翠台,2017-07-03 13:53:40,2017-07-03 13:55:59,0.0386,139.0
151,10031,20170703,11153,翡翠台,2017-07-03 13:33:20,2017-07-03 13:44:26,0.185,666.0
152,10031,20170703,11153,南方卫视,2017-07-03 13:30:15,2017-07-03 13:32:47,0.0422,152.0
153,10031,20170703,11153,南方卫视,2017-07-03 13:20:05,2017-07-03 13:30:17,0.17,612.0
154,10031,20170703,11153,南方卫视,2017-07-03 12:59:09,2017-07-03 13:20:06,0.3492,1257.0
155,10031,20170703,11153,湖南卫视-高清,2017-07-03 12:00:15,2017-07-03 12:58:18,0.9675,3483.0
156,10031,20170711,11153,湖南卫视-高清,2017-07-11 11:56:29,2017-07-11 12:35:14,0.0586,2325.0
157,10031,20170711,11153,南方卫视,2017-07-11 12:37:33,2017-07-11 12:52:38,0.2514,905.0
159,10031,20170714,11153,南方卫视,2017-07-14 12:52:45,2017-07-14 13:02:10,0.1569,565.0
160,10031,20170714,11153,南方卫视,2017-07-14 12:17:22,2017-07-14 12:29:38,0.2044,736.0
161,10031,20170714,11153,南方卫视,2017-07-14 12:42:59,2017-07-14 12:52:46,0.1631,587.0
162,10031,20170714,11153,南方卫视,2017-07-14 12:30:55,2017-07-14 12:42:33,0.1939,698.0
163,10031,20170716,11153,东方卫视-高清,2017-07-16 11:45:17,2017-07-16 12:51:15,0.8542,3958.0
165,10031,20170719,11153,翡翠台,2017-07-19 12:24:14,2017-07-19 12:35:16,0.1839,662.0
166,10031,20170719,11153,翡翠台,2017-07-19 12:44:16,2017-07-19 12:46:33,0.0381,137.0
167,10031,20170719,11153,翡翠台,2017-07-19 12:46:31,2017-07-19 12:57:51,0.1889,680.0
168,10031,20170719,11153,翡翠台,2017-07-19 12:35:14,2017-07-19 12:44:10,0.1489,536.0
169,10031,20170719,11153,翡翠台,2017-07-19 12:57:50,2017-07-19 13:09:54,0.2011,724.0
170,10031,20170719,11153,南方卫视,2017-07-19 12:01:47,2017-07-19 12:13:19,0.1922,692.0
171,10031,20170719,11153,南方卫视,2017-07-19 12:13:47,2017-07-19 12:23:38,0.1642,591.0
172,10031,20170730,11153,湖南卫视-高清,2017-07-30 12:23:36,2017-07-30 12:55:59,0.5397,1943.0
173,10031,20170731,11153,东方卫视-高清,2017-07-31 11:49:46,2017-07-31 11:51:33,0.0297,107.0
174,10031,20170731,11153,东方卫视-高清,2017-07-31 11:51:31,2017-07-31 11:59:29,0.1328,478.0
175,10031,20170731,11153,东方卫视-高清,2017-07-31 11:59:37,2017-07-31 13:26:56,1.4489,5239.0
177,10031,20170806,11153,浙江卫视-高清,2017-08-06 12:46:27,2017-08-06 12:59:00,0.2092,753.0
178,10031,20170806,11153,湖南卫视-高清,2017-08-06 12:03:47,2017-08-06 12:45:32,0.6958,2505.0
179,10031,20170808,11153,翡翠台,2017-08-08 12:55:08,2017-08-08 13:19:33,0.4069,1465.0
180,10031,20170808,11153,翡翠台,2017-08-08 11:49:31,2017-08-08 12:36:27,0.6075,2816.0
182,10031,20170810,11153,南方卫视,2017-08-10 12:05:09,2017-08-10 12:15:29,0.1722,620.0
183,10031,20170810,11153,南方卫视,2017-08-10 12:22:35,2017-08-10 12:31:42,0.1519,547.0
184,10031,20170811,11153,湖南卫视-高清,2017-08-11 13:57:17,2017-08-11 13:59:19,0.0339,122.0
185,10031,20170811,11153,湖南卫视-高清,2017-08-11 12:57:22,2017-08-11 13:48:39,0.8547,3077.0
186,10031,20170815,11153,南方卫视,2017-08-15 21:18:47,2017-08-15 21:28:00,0.1536,553.0
187,10031,20170815,11153,东方卫视-高清,2017-08-15 18:46:39,2017-08-15 19:24:08,0.6247,2249.0
188,10031,20170815,11153,东方卫视-高清,2017-08-15 12:31:44,2017-08-15 13:21:32,0.83,2988.0
189,10031,20170816,11153,中央纪录-高清,2017-08-16 19:25:46,2017-08-16 19:40:36,0.2472,890.0
190,10031,20170817,11153,南方卫视,2017-08-17 13:18:00,2017-08-17 13:27:18,0.155,558.0
191,10031,20170817,11153,东方卫视-高清,2017-08-17 11:34:11,2017-08-17 13:06:41,1.1114,5550.0
193,10031,20170817,11153,南方卫视,2017-08-17 13:07:35,2017-08-17 13:17:32,0.1658,597.0
194,10031,20170817,11153,东方卫视-高清,2017-08-17 11:31:29,2017-08-17 11:33:54,0.0403,145.0
195,10031,20170818,11153,翡翠台,2017-08-18 13:28:37,2017-08-18 13:50:04,0.3575,1287.0
196,10031,20170818,11153,湖南卫视-高清,2017-08-18 13:02:39,2017-08-18 13:27:01,0.4061,1462.0
197,10031,20170826,11153,翡翠台,2017-08-26 21:32:19,2017-08-26 22:18:53,0.3147,2794.0
199,10031,20170826,11153,翡翠台,2017-08-26 19:13:08,2017-08-26 19:56:38,0.725,2610.0
200,10031,20170826,11153,翡翠台,2017-08-26 19:09:51,2017-08-26 19:11:24,0.0258,93.0
201,10031,20170826,11153,翡翠台,2017-08-26 19:12:07,2017-08-26 19:13:09,0.0172,62.0
202,10031,20170827,11153,湖南卫视-高清,2017-08-27 11:19:14,2017-08-27 12:29:27,0.4908,4213.0
204,10031,20170902,11153,南方卫视,2017-09-02 18:44:07,2017-09-02 18:52:35,0.1411,508.0
205,10031,20170902,11153,南方卫视,2017-09-02 18:52:59,2017-09-02 19:02:12,0.1536,553.0
206,10031,20170910,11153,南方卫视,2017-09-10 16:55:51,2017-09-10 17:04:43,0.1478,532.0
207,10031,20170910,11153,南方卫视,2017-09-10 16:36:06,2017-09-10 16:46:33,0.1742,627.0
208,10031,20170910,11153,南方卫视,2017-09-10 16:46:32,2017-09-10 16:55:53,0.1558,561.0
209,10031,20170910,11153,南方卫视,2017-09-10 16:27:59,2017-09-10 16:36:08,0.1358,489.0
210,10031,20170910,11153,湖南卫视-高清,2017-09-10 11:55:14,2017-09-10 12:47:41,0.7947,3147.0
212,10031,20170924,11153,南方卫视,2017-09-24 16:34:20,2017-09-24 16:44:07,0.1631,587.0
213,10031,20170924,11153,南方卫视,2017-09-24 16:44:06,2017-09-24 16:55:58,0.1978,712.0
214,10031,20170924,11153,南方卫视,2017-09-24 16:11:31,2017-09-24 16:25:11,0.2278,820.0
215,10031,20170924,11153,南方卫视,2017-09-24 16:55:56,2017-09-24 17:04:55,0.1497,539.0
216,10031,20170924,11153,南方卫视,2017-09-24 15:52:55,2017-09-24 16:01:48,0.03,533.0
218,10031,20170924,11153,南方卫视,2017-09-24 16:25:10,2017-09-24 16:34:21,0.1531,551.0
219,10031,20170924,11153,南方卫视,2017-09-24 16:01:46,2017-09-24 16:11:32,0.1628,586.0
220,10032,20170707,10721,广东体育-高清,2017-07-07 20:26:53,2017-07-07 21:00:25,0.5589,2012.0
221,10032,20170707,10721,广州竞赛,2017-07-07 19:40:19,2017-07-07 20:26:55,0.4486,2796.0
223,10032,20170710,10721,广东体育,2017-07-10 17:58:11,2017-07-10 18:26:47,0.4464,1716.0
225,10032,20170710,10721,广东体育,2017-07-10 07:46:07,2017-07-10 08:21:29,0.3581,2122.0
227,10032,20170713,10721,翡翠台,2017-07-13 07:32:20,2017-07-13 08:13:21,0.2225,2461.0
229,10032,20170715,10721,浙江卫视-高清,2017-07-15 16:08:05,2017-07-15 18:08:35,0.1431,7230.0
231,10032,20170716,10721,浙江卫视-高清,2017-07-16 15:35:13,2017-07-16 16:16:49,0.2803,2496.0
233,10032,20170716,10721,浙江卫视-高清,2017-07-16 14:17:27,2017-07-16 15:35:14,1.2964,4667.0
234,10032,20170717,10721,浙江卫视-高清,2017-07-17 18:05:21,2017-07-17 20:02:34,0.0428,7033.0
236,10032,20170725,10721,东方卫视-高清,2017-07-24 23:50:15,2017-07-25 00:30:15,0.1625,2400.0
238,10032,20170729,10721,广州竞赛,2017-07-29 23:23:27,2017-07-29 23:31:46,0.1386,499.0
239,10032,20170729,10721,广州竞赛,2017-07-29 23:44:12,2017-07-29 23:45:21,0.0192,69.0
240,10032,20170729,10721,广州竞赛,2017-07-29 23:31:53,2017-07-29 23:44:14,0.2058,741.0
241,10032,20170729,10721,广东体育,2017-07-29 23:45:20,2017-07-29 23:50:50,0.0917,330.0
242,10032,20170805,10721,广州竞赛,2017-08-05 21:39:59,2017-08-05 22:02:24,0.04,1345.0
244,10032,20170805,10721,广州竞赛,2017-08-05 22:04:05,2017-08-05 22:29:28,0.4231,1523.0
245,10032,20170805,10721,广州竞赛,2017-08-05 22:02:23,2017-08-05 22:03:44,0.0225,81.0
246,10032,20170805,10721,浙江卫视-高清,2017-08-05 15:51:03,2017-08-05 17:51:35,1.8597,7232.0
248,10032,20170809,10721,中央5台-高清,2017-08-09 07:35:20,2017-08-09 07:36:29,0.0192,69.0
249,10032,20170809,10721,广州竞赛,2017-08-09 07:29:52,2017-08-09 07:33:01,0.0525,189.0
250,10032,20170809,10721,广东体育,2017-08-09 07:33:00,2017-08-09 07:35:21,0.0392,141.0
251,10032,20170813,10721,广州竞赛,2017-08-13 21:42:42,2017-08-13 21:44:42,0.0333,120.0
252,10032,20170813,10721,中央5台-高清,2017-08-13 21:48:03,2017-08-13 22:07:09,0.1192,1146.0
254,10032,20170816,10721,广东体育,2017-08-16 16:00:46,2017-08-16 16:43:04,0.705,2538.0
255,10032,20170816,10721,广东体育,2017-08-16 16:43:03,2017-08-16 17:48:01,1.0828,3898.0
256,10032,20170816,10721,广州竞赛,2017-08-16 07:58:18,2017-08-16 08:02:05,0.0347,227.0
258,10032,20170816,10721,广州竞赛,2017-08-16 08:02:04,2017-08-16 08:26:34,0.4083,1470.0
259,10032,20170819,10721,广州竞赛,2017-08-19 18:06:28,2017-08-19 18:08:44,0.0378,136.0
260,10032,20170822,10721,浙江卫视-高清,2017-08-22 14:44:35,2017-08-22 18:07:42,0.1283,12187.0
263,10032,20170824,10721,中央音乐,2017-08-24 15:35:02,2017-08-24 17:18:29,1.3081,6207.0
265,10032,20170825,10721,翡翠台,2017-08-25 07:15:54,2017-08-25 07:42:38,0.4456,1604.0
266,10032,20170901,10721,中央音乐,2017-09-01 16:23:40,2017-09-01 17:01:54,0.6372,2294.0
267,10032,20170915,10721,翡翠台,2017-09-15 08:17:38,2017-09-15 08:54:36,0.6161,2218.0
268,10032,20170915,10721,翡翠台,2017-09-15 08:54:34,2017-09-15 08:59:57,0.0897,323.0
269,10033,20170830,10839,江苏卫视-高清,2017-08-29 21:43:01,2017-08-30 00:23:54,2.0,9653.0
272,10033,20170917,10839,中央5台-高清,2017-09-17 18:55:28,2017-09-17 20:01:26,0.0239,3958.0
273,10033,20170917,10839,中央5台-高清,2017-09-17 18:13:21,2017-09-17 18:55:28,0.7019,2527.0
275,10035,20170701,10946,广东新闻,2017-07-01 13:29:51,2017-07-01 19:15:06,1.2517,20715.0
279,10035,20170701,10946,广东新闻,2017-07-01 02:36:57,2017-07-01 12:51:44,0.8622,36887.0
285,10035,20170703,10946,广东体育,2017-07-03 12:26:06,2017-07-03 12:27:32,0.0239,86.0
286,10035,20170703,10946,广东体育,2017-07-03 03:00:20,2017-07-03 03:15:37,0.2547,917.0
287,10035,20170703,10946,广东体育,2017-07-03 03:27:30,2017-07-03 04:20:41,0.3447,3191.0
289,10035,20170703,10946,广东体育,2017-07-03 02:07:54,2017-07-03 02:38:15,0.5058,1821.0
290,10035,20170703,10946,广东体育,2017-07-03 02:38:34,2017-07-03 03:00:04,0.3583,1290.0
291,10035,20170703,10946,广东体育,2017-07-03 03:15:55,2017-07-03 03:27:06,0.1864,671.0
292,10035,20170703,10946,广东体育,2017-07-03 04:21:43,2017-07-03 12:09:51,0.1642,28088.0
297,10035,20170703,10946,广东新闻,2017-07-03 12:27:31,2017-07-03 13:33:55,1.1067,3984.0
298,10035,20170703,10946,广东体育,2017-07-03 12:09:59,2017-07-03 12:26:04,0.2681,965.0
299,10035,20170706,10946,广东新闻,2017-07-06 02:16:53,2017-07-06 02:31:04,0.2364,851.0
300,10035,20170706,10946,广东新闻,2017-07-06 01:42:30,2017-07-06 02:16:30,0.275,2040.0
311,10035,20170707,10946,广东新闻,2017-07-07 01:10:33,2017-07-07 01:57:09,0.7767,2796.0
312,10035,20170707,10946,广东新闻,2017-07-07 01:09:31,2017-07-07 01:10:35,0.0178,64.0
321,10035,20170708,10946,广东体育,2017-07-08 01:25:54,2017-07-08 02:06:22,0.1061,2428.0
323,10035,20170708,10946,广东体育,2017-07-08 00:34:25,2017-07-08 01:16:55,0.7083,2550.0
324,10035,20170708,10946,广东体育,2017-07-08 01:16:51,2017-07-08 01:24:48,0.1325,477.0
326,10035,20170709,10946,广东体育,2017-07-09 00:13:53,2017-07-09 00:35:01,0.3522,1268.0
327,10035,20170709,10946,广东体育,2017-07-09 00:10:45,2017-07-09 00:13:54,0.0525,189.0
328,10035,20170709,10946,广东新闻,2017-07-09 01:02:43,2017-07-09 01:17:47,0.2511,904.0
329,10035,20170709,10946,广东新闻,2017-07-09 00:36:14,2017-07-09 01:02:32,0.4383,1578.0
330,10035,20170709,10946,广东体育,2017-07-08 22:04:41,2017-07-09 00:10:38,1.9219,7557.0
332,10035,20170710,10946,广东新闻,2017-07-10 02:30:09,2017-07-10 03:00:03,0.4983,1794.0
333,10035,20170710,10946,广东新闻,2017-07-10 03:00:20,2017-07-10 11:54:53,1.9147,32073.0
338,10035,20170713,10946,广东新闻,2017-07-13 01:29:55,2017-07-13 01:48:08,0.3036,1093.0
339,10035,20170713,10946,广东新闻,2017-07-13 01:54:43,2017-07-13 11:27:25,1.4569,34362.0
345,10035,20170713,10946,广东新闻,2017-07-13 00:36:08,2017-07-13 01:29:56,0.8967,3228.0
346,10035,20170714,10946,广东新闻,2017-07-14 02:04:11,2017-07-14 02:17:46,0.2264,815.0
347,10035,20170714,10946,广东体育,2017-07-14 00:25:50,2017-07-14 01:05:48,0.6661,2398.0
348,10035,20170714,10946,广东新闻,2017-07-14 01:06:23,2017-07-14 02:04:03,0.0675,3460.0
350,10035,20170716,10946,广东体育,2017-07-16 02:22:18,2017-07-16 02:40:25,0.3019,1087.0
351,10035,20170716,10946,广东体育,2017-07-16 02:14:26,2017-07-16 02:16:32,0.035,126.0
352,10035,20170716,10946,广东体育,2017-07-16 02:16:31,2017-07-16 02:21:59,0.0911,328.0
353,10035,20170716,10946,广东体育,2017-07-16 02:40:29,2017-07-16 03:04:36,0.4019,1447.0
354,10035,20170716,10946,广东体育,2017-07-16 00:01:33,2017-07-16 02:12:54,0.215,7881.0
356,10035,20170717,10946,广东新闻,2017-07-17 12:28:03,2017-07-17 12:46:12,0.3025,1089.0
357,10035,20170717,10946,广东体育,2017-07-17 11:41:11,2017-07-17 12:01:49,0.0303,1238.0
359,10035,20170717,10946,广东体育,2017-07-17 12:01:57,2017-07-17 12:27:14,0.4214,1517.0
360,10035,20170717,10946,广东体育,2017-07-17 02:06:38,2017-07-17 03:00:06,0.8911,3208.0
361,10035,20170717,10946,广东体育,2017-07-17 03:00:16,2017-07-17 11:40:16,1.6711,31200.0
378,10035,20170718,10946,广东体育,2017-07-18 12:19:58,2017-07-18 12:40:08,0.3361,1210.0
379,10035,20170718,10946,广东体育,2017-07-18 12:17:01,2017-07-18 12:18:48,0.0297,107.0
380,10035,20170718,10946,广东体育,2017-07-18 12:41:34,2017-07-18 20:08:13,0.1369,26799.0
385,10035,20170718,10946,广东珠江,2017-07-18 01:16:18,2017-07-18 02:02:28,0.0411,2770.0
387,10035,20170718,10946,广东新闻,2017-07-18 00:20:09,2017-07-18 01:14:19,0.9028,3250.0
388,10035,20170719,10946,广东新闻,2017-07-19 00:21:15,2017-07-19 01:22:28,1.0203,3673.0
