,设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,观看时长
48,10010,20170724,精彩点,我们的少年时代,2017-07-24 15:48:47,2017-07-24 15:52:34,11021,227.0
49,10010,20170724,精彩点,我们的少年时代,2017-07-24 16:04:28,2017-07-24 20:08:59,11021,14671.0
50,10010,20170817,精彩点,08月11日 天天向上：张若昀为长沙美食打call,2017-08-17 20:55:11,2017-08-17 20:56:24,11021,73.0
51,10010,20170827,精彩点,03月31日 王牌对王牌 第二季：王源林俊杰隔空互动,2017-08-27 21:30:22,2017-08-27 21:31:25,11021,63.0
52,10010,20170829,精彩点,人间至味是清欢,2017-08-29 21:04:12,2017-08-29 21:13:24,11021,552.0
53,10010,20170831,精彩点,08月15日 爱情保卫战：我受够了这种无声的生活,2017-08-31 16:51:40,2017-08-31 17:38:49,11021,2829.0
54,10010,20170831,精彩点,人间至味是清欢,2017-08-31 16:47:34,2017-08-31 16:51:41,11021,247.0
55,10010,20170831,精彩点,08月23日 爱情保卫战：男友瞒女友为女同事买包,2017-08-31 17:38:48,2017-08-31 17:46:51,11021,483.0
56,10010,20170908,精彩点,10月15日 十二道锋味 第三季：谢霆锋守候极光 萧敬腾秒变雪孩子,2017-09-08 09:12:10,2017-09-08 10:11:20,11021,3550.0
57,10010,20170908,精彩点,十二道锋味 第三季：杨紫琼霆锋非洲惊险钓鲨鱼,2017-09-08 10:11:18,2017-09-08 10:43:48,11021,1950.0
59,10013,20170715,精彩点,大军师司马懿之军师联盟,2017-07-15 21:32:17,2017-07-15 22:19:34,11075,2837.0
60,10013,20170715,精彩点,大军师司马懿之军师联盟,2017-07-15 22:24:28,2017-07-15 23:08:34,11075,2646.0
61,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-16 11:50:29,2017-07-16 12:36:44,11075,2775.0
62,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-16 13:21:25,2017-07-16 19:49:12,11075,23267.0
63,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-16 11:06:11,2017-07-16 11:50:30,11075,2659.0
64,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-15 23:08:32,2017-07-16 00:18:12,11075,4180.0
65,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-16 12:36:43,2017-07-16 13:20:57,11075,2654.0
66,10013,20170716,精彩点,大军师司马懿之军师联盟,2017-07-16 00:18:11,2017-07-16 11:05:47,11075,38856.0
67,10013,20170717,精彩点,07月06日 贝肯熊,2017-07-17 18:25:35,2017-07-17 18:42:48,11075,1033.0
68,10013,20170717,精彩点,07月04日 贝肯熊,2017-07-17 17:24:14,2017-07-17 17:58:01,11075,2027.0
69,10013,20170717,精彩点,07月03日 贝肯熊,2017-07-17 16:58:00,2017-07-17 17:23:57,11075,1557.0
70,10013,20170717,精彩点,07月02日 贝肯熊,2017-07-17 16:34:20,2017-07-17 16:57:50,11075,1410.0
71,10013,20170717,精彩点,07月05日 贝肯熊,2017-07-17 22:30:35,2017-07-17 22:56:26,11075,1551.0
72,10013,20170717,精彩点,07月07日 贝肯熊,2017-07-17 23:07:15,2017-07-17 23:31:53,11075,1478.0
73,10013,20170717,精彩点,07月05日 贝肯熊,2017-07-17 17:58:17,2017-07-17 18:25:22,11075,1625.0
74,10013,20170717,精彩点,07月02日 贝肯熊,2017-07-17 12:33:14,2017-07-17 16:34:11,11075,14457.0
75,10013,20170717,精彩点,07月06日 贝肯熊,2017-07-17 22:57:33,2017-07-17 23:06:56,11075,563.0
76,10013,20170717,精彩点,07月04日 贝肯熊,2017-07-17 22:05:11,2017-07-17 22:30:24,11075,1513.0
77,10013,20170717,精彩点,07月01日 贝肯熊,2017-07-17 12:07:47,2017-07-17 12:32:51,11075,1504.0
78,10013,20170718,精彩点,07月01日 贝肯熊,2017-07-18 19:44:11,2017-07-18 20:09:19,11075,1508.0
79,10013,20170718,精彩点,07月13日 贝肯熊,2017-07-18 13:49:46,2017-07-18 14:14:14,11075,1468.0
80,10013,20170718,精彩点,07月15日 贝肯熊,2017-07-18 14:39:14,2017-07-18 15:05:22,11075,1568.0
81,10013,20170718,精彩点,07月10日 贝肯熊,2017-07-18 09:56:56,2017-07-18 10:21:00,11075,1444.0
82,10013,20170718,精彩点,07月01日 贝肯熊,2017-07-18 15:05:59,2017-07-18 19:41:59,11075,16560.0
83,10013,20170718,精彩点,07月02日 贝肯熊,2017-07-18 20:09:31,2017-07-18 20:37:25,11075,1674.0
84,10013,20170718,精彩点,大军师司马懿之军师联盟,2017-07-18 22:07:17,2017-07-18 23:32:50,11075,5133.0
85,10013,20170718,精彩点,07月13日 贝肯熊,2017-07-18 11:13:25,2017-07-18 11:39:52,11075,1587.0
86,10013,20170718,精彩点,07月09日 贝肯熊,2017-07-18 00:01:23,2017-07-18 09:56:42,11075,35719.0
87,10013,20170718,精彩点,大军师司马懿之军师联盟,2017-07-18 21:43:56,2017-07-18 22:07:18,11075,1402.0
88,10013,20170718,精彩点,07月12日 贝肯熊,2017-07-18 10:47:04,2017-07-18 11:13:08,11075,1564.0
89,10013,20170718,精彩点,07月11日 贝肯熊,2017-07-18 10:21:16,2017-07-18 10:46:53,11075,1537.0
90,10013,20170718,精彩点,07月08日 贝肯熊,2017-07-17 23:32:08,2017-07-18 00:00:24,11075,1696.0
91,10013,20170718,精彩点,07月14日 贝肯熊,2017-07-18 14:14:25,2017-07-18 14:39:03,11075,1478.0
92,10013,20170719,精彩点,05月13日 熊出没之春日对对碰,2017-07-19 14:22:49,2017-07-19 14:35:09,11075,740.0
93,10013,20170719,精彩点,07月02日 贝肯熊,2017-07-19 19:19:25,2017-07-19 19:27:23,11075,478.0
94,10013,20170719,精彩点,07月03日 贝肯熊,2017-07-19 19:27:48,2017-07-19 19:55:24,11075,1656.0
95,10013,20170719,精彩点,05月14日 熊出没之春日对对碰,2017-07-19 15:19:35,2017-07-19 16:11:49,11075,3134.0
96,10013,20170719,精彩点,05月15日 熊出没之春日对对碰,2017-07-19 16:11:58,2017-07-19 16:56:13,11075,2655.0
97,10013,20170719,精彩点,05月13日 熊出没之春日对对碰,2017-07-19 14:35:07,2017-07-19 15:19:26,11075,2659.0
98,10013,20170719,精彩点,07月01日 贝肯熊,2017-07-19 13:41:40,2017-07-19 14:07:00,11075,1520.0
99,10013,20170719,精彩点,07月01日 贝肯熊,2017-07-19 18:53:51,2017-07-19 19:18:56,11075,1505.0
100,10013,20170719,精彩点,07月02日 贝肯熊,2017-07-19 14:07:09,2017-07-19 14:22:50,11075,941.0
101,10013,20170720,精彩点,07月01日 贝肯熊,2017-07-20 13:45:35,2017-07-20 14:10:59,11075,1524.0
102,10013,20170720,精彩点,05月13日 熊出没之秋日团团转,2017-07-20 09:32:34,2017-07-20 12:51:14,11075,11920.0
103,10013,20170720,精彩点,05月07日 熊出没之秋日团团转,2017-07-20 14:11:25,2017-07-20 16:07:25,11075,6960.0
104,10013,20170720,精彩点,06月03日 熊出没之秋日团团转,2017-07-20 19:55:41,2017-07-20 21:00:49,11075,3908.0
105,10013,20170720,精彩点,07月02日 贝肯熊,2017-07-20 19:27:12,2017-07-20 19:55:11,11075,1679.0
106,10013,20170720,精彩点,05月07日 熊出没之秋日团团转,2017-07-19 19:56:25,2017-07-20 09:32:23,11075,48958.0
107,10013,20170720,精彩点,07月01日 贝肯熊,2017-07-20 19:02:05,2017-07-20 19:27:13,11075,1508.0
108,10013,20170721,精彩点,大军师司马懿之军师联盟,2017-07-21 21:57:28,2017-07-21 22:00:41,11075,193.0
109,10013,20170721,精彩点,大军师司马懿之军师联盟,2017-07-21 21:49:05,2017-07-21 21:51:54,11075,169.0
110,10013,20170721,精彩点,大军师司马懿之军师联盟,2017-07-21 21:51:52,2017-07-21 21:56:30,11075,278.0
111,10013,20170721,精彩点,大军师司马懿之军师联盟,2017-07-21 22:00:39,2017-07-21 22:48:32,11075,2873.0
112,10013,20170723,精彩点,大军师司马懿之军师联盟,2017-07-23 20:39:02,2017-07-23 21:18:46,11075,2384.0
113,10013,20170723,精彩点,大军师司马懿之军师联盟,2017-07-23 21:19:22,2017-07-23 22:04:39,11075,2717.0
114,10013,20170723,精彩点,大军师司马懿之军师联盟,2017-07-23 19:54:22,2017-07-23 20:39:04,11075,2682.0
115,10013,20170723,精彩点,大军师司马懿之军师联盟,2017-07-23 22:04:38,2017-07-23 22:49:23,11075,2685.0
116,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-24 19:54:33,2017-07-24 19:58:31,11075,238.0
117,10013,20170724,精彩点,07月02日 贝肯熊,2017-07-24 19:07:32,2017-07-24 19:32:23,11075,1491.0
118,10013,20170724,精彩点,07月03日 贝肯熊,2017-07-24 19:32:33,2017-07-24 19:54:34,11075,1321.0
119,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-24 22:15:26,2017-07-24 23:00:05,11075,2679.0
120,10013,20170724,精彩点,07月01日 贝肯熊,2017-07-24 18:42:31,2017-07-24 19:07:33,11075,1502.0
121,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-24 20:42:54,2017-07-24 21:30:56,11075,2882.0
122,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-24 21:31:05,2017-07-24 22:15:28,11075,2663.0
123,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-24 19:58:41,2017-07-24 20:42:56,11075,2655.0
124,10013,20170724,精彩点,大军师司马懿之军师联盟,2017-07-23 22:49:21,2017-07-24 13:41:34,11075,53533.0
125,10013,20170725,精彩点,07月01日 贝肯熊,2017-07-25 11:29:18,2017-07-25 11:54:13,11075,1495.0
126,10013,20170725,精彩点,07月05日 贝肯熊,2017-07-25 13:15:45,2017-07-25 13:41:12,11075,1527.0
127,10013,20170725,精彩点,07月01日 贝肯熊,2017-07-25 21:58:36,2017-07-25 22:28:17,11075,1781.0
128,10013,20170725,精彩点,05月14日 熊出没之春日对对碰,2017-07-25 16:54:55,2017-07-25 18:45:37,11075,6642.0
129,10013,20170725,精彩点,07月06日 贝肯熊,2017-07-25 13:41:27,2017-07-25 14:07:19,11075,1552.0
130,10013,20170725,精彩点,07月02日 贝肯熊,2017-07-25 22:28:26,2017-07-25 22:51:39,11075,1393.0
131,10013,20170725,精彩点,05月13日 熊出没之春日对对碰,2017-07-25 16:02:03,2017-07-25 16:54:43,11075,3160.0
132,10013,20170725,精彩点,07月04日 贝肯熊,2017-07-25 12:51:10,2017-07-25 13:15:32,11075,1462.0
133,10013,20170725,精彩点,07月02日 贝肯熊,2017-07-25 11:54:11,2017-07-25 12:47:21,11075,3190.0
134,10013,20170725,精彩点,大军师司马懿之军师联盟,2017-07-24 23:00:04,2017-07-25 11:28:18,11075,44894.0
135,10013,20170725,精彩点,07月03日 贝肯熊,2017-07-25 12:47:28,2017-07-25 12:51:00,11075,212.0
136,10013,20170726,精彩点,05月13日 熊出没之春日对对碰,2017-07-26 12:48:51,2017-07-26 13:41:39,11075,3168.0
137,10013,20170726,精彩点,07月03日 贝肯熊,2017-07-26 11:58:18,2017-07-26 12:23:11,11075,1493.0
138,10013,20170726,精彩点,07月04日 贝肯熊,2017-07-26 12:23:09,2017-07-26 12:48:53,11075,1544.0
139,10013,20170726,精彩点,07月01日 贝肯熊,2017-07-26 18:28:44,2017-07-26 18:53:59,11075,1515.0
140,10013,20170726,精彩点,07月01日 贝肯熊,2017-07-26 11:32:34,2017-07-26 11:57:35,11075,1501.0
141,10013,20170726,精彩点,07月03日 贝肯熊,2017-07-25 22:51:38,2017-07-26 11:30:45,11075,45547.0
142,10013,20170726,精彩点,05月14日 熊出没之春日对对碰,2017-07-26 13:44:16,2017-07-26 14:44:12,11075,3596.0
143,10013,20170726,精彩点,07月02日 贝肯熊,2017-07-26 18:54:29,2017-07-26 19:20:21,11075,1552.0
144,10013,20170727,精彩点,07月10日 贝肯熊,2017-07-27 13:10:36,2017-07-27 13:34:37,11075,1441.0
145,10013,20170727,精彩点,07月12日 贝肯熊,2017-07-27 13:59:45,2017-07-27 14:07:04,11075,439.0
146,10013,20170727,精彩点,07月06日 贝肯熊,2017-07-27 11:29:58,2017-07-27 11:55:00,11075,1502.0
147,10013,20170727,精彩点,07月05日 贝肯熊,2017-07-27 11:04:55,2017-07-27 11:29:59,11075,1504.0
148,10013,20170727,精彩点,05月31日 熊出没之夏日连连看,2017-07-26 19:20:20,2017-07-27 09:47:09,11075,52009.0
149,10013,20170727,精彩点,07月07日 贝肯熊,2017-07-27 11:54:58,2017-07-27 12:19:41,11075,1483.0
150,10013,20170727,精彩点,07月11日 贝肯熊,2017-07-27 13:34:47,2017-07-27 13:59:31,11075,1484.0
151,10013,20170727,精彩点,07月08日 贝肯熊,2017-07-27 12:20:44,2017-07-27 12:46:09,11075,1525.0
152,10013,20170727,精彩点,07月04日 贝肯熊,2017-07-27 10:39:35,2017-07-27 11:04:56,11075,1521.0
153,10013,20170727,精彩点,07月04日 贝肯熊,2017-07-27 14:57:55,2017-07-27 18:49:02,11075,13867.0
154,10013,20170727,精彩点,07月03日 贝肯熊,2017-07-27 14:32:44,2017-07-27 14:57:56,11075,1512.0
155,10013,20170727,精彩点,07月09日 贝肯熊,2017-07-27 12:46:07,2017-07-27 13:10:17,11075,1450.0
156,10013,20170727,精彩点,07月01日 贝肯熊,2017-07-27 09:48:13,2017-07-27 10:12:54,11075,1481.0
157,10013,20170727,精彩点,07月02日 贝肯熊,2017-07-27 10:12:52,2017-07-27 10:38:06,11075,1514.0
158,10013,20170727,精彩点,07月02日 贝肯熊,2017-07-27 14:08:46,2017-07-27 14:32:18,11075,1412.0
159,10013,20170728,精彩点,07月02日 贝肯熊,2017-07-28 10:26:47,2017-07-28 10:49:52,11075,1385.0
160,10013,20170728,精彩点,07月03日 贝肯熊,2017-07-28 19:40:45,2017-07-28 20:06:03,11075,1518.0
161,10013,20170728,精彩点,07月02日 贝肯熊,2017-07-28 19:16:26,2017-07-28 19:40:06,11075,1420.0
162,10013,20170728,精彩点,07月03日 贝肯熊,2017-07-28 10:49:51,2017-07-28 11:14:50,11075,1499.0
163,10013,20170728,精彩点,07月07日 贝肯熊,2017-07-28 11:41:05,2017-07-28 19:15:45,11075,27280.0
164,10013,20170728,精彩点,07月04日 贝肯熊,2017-07-28 11:14:48,2017-07-28 11:39:40,11075,1492.0
165,10013,20170729,精彩点,07月06日 贝肯熊,2017-07-29 11:57:49,2017-07-29 12:22:49,11075,1500.0
166,10013,20170729,精彩点,07月03日 贝肯熊,2017-07-29 10:42:55,2017-07-29 11:07:40,11075,1485.0
167,10013,20170729,精彩点,07月07日 贝肯熊,2017-07-29 12:22:48,2017-07-29 12:47:29,11075,1481.0
168,10013,20170729,精彩点,07月04日 贝肯熊,2017-07-29 11:08:00,2017-07-29 11:32:54,11075,1494.0
169,10013,20170729,精彩点,07月02日 贝肯熊,2017-07-28 20:06:02,2017-07-29 10:42:38,11075,52596.0
170,10013,20170729,精彩点,07月09日 贝肯熊,2017-07-29 13:18:40,2017-07-29 13:42:41,11075,1441.0
171,10013,20170729,精彩点,07月05日 贝肯熊,2017-07-29 11:32:52,2017-07-29 11:57:51,11075,1499.0
172,10013,20170729,精彩点,07月08日 贝肯熊,2017-07-29 12:47:55,2017-07-29 13:17:35,11075,1780.0
173,10013,20170729,精彩点,07月10日 贝肯熊,2017-07-29 13:42:51,2017-07-29 14:09:28,11075,1597.0
174,10013,20170730,精彩点,07月01日 贝肯熊,2017-07-30 22:23:01,2017-07-30 22:47:54,11075,1493.0
175,10013,20170730,精彩点,07月12日 贝肯熊,2017-07-30 12:01:22,2017-07-30 12:18:52,11075,1050.0
176,10013,20170730,精彩点,07月01日 贝肯熊,2017-07-30 10:22:13,2017-07-30 10:47:05,11075,1492.0
177,10013,20170730,精彩点,07月13日 贝肯熊,2017-07-30 12:19:05,2017-07-30 12:50:26,11075,1881.0
178,10013,20170730,精彩点,07月11日 贝肯熊,2017-07-30 11:36:21,2017-07-30 12:01:09,11075,1488.0
179,10013,20170730,精彩点,07月15日 贝肯熊,2017-07-30 14:14:35,2017-07-30 14:38:52,11075,1457.0
180,10013,20170730,精彩点,07月15日 贝肯熊,2017-07-30 13:49:15,2017-07-30 14:14:17,11075,1502.0
181,10013,20170730,精彩点,07月08日 贝肯熊,2017-07-30 10:47:21,2017-07-30 11:12:19,11075,1498.0
182,10013,20170730,精彩点,07月10日 贝肯熊,2017-07-30 11:12:17,2017-07-30 11:36:02,11075,1425.0
183,10013,20170730,精彩点,07月15日 贝肯熊,2017-07-30 14:40:42,2017-07-30 15:06:39,11075,1557.0
184,10013,20170730,精彩点,07月02日 贝肯熊,2017-07-30 09:58:18,2017-07-30 10:21:28,11075,1390.0
185,10013,20170730,精彩点,07月14日 贝肯熊,2017-07-30 13:24:19,2017-07-30 13:48:49,11075,1470.0
186,10013,20170731,精彩点,大军师司马懿之军师联盟,2017-07-31 21:50:54,2017-07-31 22:34:52,11075,2638.0
187,10013,20170731,精彩点,05月13日 熊出没之春日对对碰,2017-07-31 20:37:10,2017-07-31 21:30:17,11075,3187.0
188,10013,20170731,精彩点,07月03日 贝肯熊,2017-07-30 22:48:16,2017-07-31 10:22:11,11075,41635.0
189,10013,20170731,精彩点,07月04日 贝肯熊,2017-07-31 10:48:49,2017-07-31 19:27:55,11075,31146.0
190,10013,20170731,精彩点,大军师司马懿之军师联盟,2017-07-31 21:33:31,2017-07-31 21:50:55,11075,1044.0
191,10013,20170731,精彩点,07月07日 贝肯熊,2017-07-31 19:43:40,2017-07-31 20:08:41,11075,1501.0
192,10013,20170731,精彩点,07月03日 贝肯熊,2017-07-31 10:22:14,2017-07-31 10:48:19,11075,1565.0
193,10013,20170731,精彩点,07月06日 贝肯熊,2017-07-31 19:28:32,2017-07-31 19:43:00,11075,868.0
194,10013,20170731,精彩点,05月14日 熊出没之春日对对碰,2017-07-31 21:31:21,2017-07-31 21:33:04,11075,103.0
195,10013,20170731,精彩点,07月09日 贝肯熊,2017-07-31 20:09:11,2017-07-31 20:32:54,11075,1423.0
196,10013,20170801,精彩点,07月04日 贝肯熊,2017-08-01 14:26:21,2017-08-01 14:51:04,11075,1483.0
197,10013,20170801,精彩点,大军师司马懿之军师联盟,2017-07-31 22:34:50,2017-08-01 13:34:05,11075,53955.0
198,10013,20170801,精彩点,07月03日 贝肯熊,2017-08-01 14:05:14,2017-08-01 14:26:21,11075,1267.0
199,10013,20170801,精彩点,07月01日 贝肯熊,2017-08-01 13:36:36,2017-08-01 14:01:31,11075,1495.0
200,10013,20170801,精彩点,07月10日 贝肯熊,2017-08-01 20:37:46,2017-08-01 21:01:43,11075,1437.0
201,10013,20170801,精彩点,07月08日 贝肯熊,2017-08-01 19:49:08,2017-08-01 20:13:57,11075,1489.0
202,10013,20170801,精彩点,07月03日 贝肯熊,2017-08-01 14:01:30,2017-08-01 14:05:16,11075,226.0
203,10013,20170801,精彩点,07月07日 贝肯熊,2017-08-01 19:24:17,2017-08-01 19:48:54,11075,1477.0
204,10013,20170801,精彩点,07月11日 贝肯熊,2017-08-01 21:04:40,2017-08-01 21:31:37,11075,1617.0
205,10013,20170801,精彩点,07月05日 贝肯熊,2017-08-01 14:51:02,2017-08-01 18:48:47,11075,14265.0
206,10013,20170801,精彩点,07月05日 贝肯熊,2017-08-01 18:48:54,2017-08-01 19:13:51,11075,1497.0
207,10013,20170801,精彩点,07月09日 贝肯熊,2017-08-01 20:13:56,2017-08-01 20:37:47,11075,1431.0
208,10013,20170801,精彩点,07月06日 贝肯熊,2017-08-01 19:13:50,2017-08-01 19:24:19,11075,629.0
209,10013,20170801,精彩点,大军师司马懿之军师联盟,2017-08-01 13:34:30,2017-08-01 13:36:04,11075,94.0
210,10013,20170802,精彩点,07月15日 贝肯熊,2017-08-02 10:48:43,2017-08-02 11:13:00,11075,1457.0
211,10013,20170802,精彩点,07月14日 贝肯熊,2017-08-02 11:13:23,2017-08-02 11:42:44,11075,1761.0
212,10013,20170803,精彩点,07月14日 贝肯熊,2017-08-03 20:30:22,2017-08-03 20:54:44,11075,1462.0
213,10013,20170803,精彩点,07月15日 贝肯熊,2017-08-03 19:14:48,2017-08-03 19:39:06,11075,1458.0
214,10013,20170803,精彩点,07月13日 贝肯熊,2017-08-03 20:03:57,2017-08-03 20:29:56,11075,1559.0
215,10013,20170803,精彩点,07月15日 贝肯熊,2017-08-03 20:54:43,2017-08-03 21:13:21,11075,1118.0
216,10013,20170803,精彩点,07月14日 贝肯熊,2017-08-03 19:39:34,2017-08-03 20:03:48,11075,1454.0
217,10013,20170804,精彩点,05月17日 熊熊乐园,2017-08-04 12:46:08,2017-08-04 13:29:23,11075,2595.0
218,10013,20170804,精彩点,05月17日 熊熊乐园,2017-08-04 13:33:59,2017-08-04 14:23:03,11075,2944.0
219,10013,20170804,精彩点,07月15日 贝肯熊,2017-08-04 10:07:38,2017-08-04 10:31:50,11075,1452.0
220,10013,20170804,精彩点,07月13日 贝肯熊,2017-08-04 10:33:44,2017-08-04 10:58:19,11075,1475.0
221,10013,20170804,精彩点,07月14日 贝肯熊,2017-08-04 10:58:31,2017-08-04 11:15:26,11075,1015.0
222,10013,20170804,精彩点,07月15日 贝肯熊,2017-08-04 10:01:18,2017-08-04 10:07:11,11075,353.0
223,10013,20170804,精彩点,05月19日 熊熊乐园,2017-08-04 21:27:24,2017-08-04 22:30:53,11075,3809.0
224,10013,20170804,精彩点,05月17日 熊熊乐园,2017-08-04 13:29:39,2017-08-04 13:33:36,11075,237.0
225,10013,20170804,精彩点,05月16日 熊熊乐园,2017-08-04 11:58:04,2017-08-04 12:45:41,11075,2857.0
226,10013,20170804,精彩点,05月18日 熊熊乐园,2017-08-04 14:23:18,2017-08-04 20:37:27,11075,22449.0
227,10013,20170804,精彩点,05月18日 熊熊乐园,2017-08-04 20:39:53,2017-08-04 21:27:12,11075,2839.0
228,10013,20170804,精彩点,05月15日 熊熊乐园,2017-08-04 11:15:25,2017-08-04 11:57:30,11075,2525.0
229,10013,20170805,精彩点,05月25日 熊熊乐园,2017-08-05 13:13:32,2017-08-05 14:05:26,11075,3114.0
230,10013,20170805,精彩点,05月23日 熊熊乐园,2017-08-05 11:38:59,2017-08-05 12:25:27,11075,2788.0
231,10013,20170805,精彩点,05月22日 熊熊乐园,2017-08-05 10:50:04,2017-08-05 11:37:24,11075,2840.0
232,10013,20170805,精彩点,05月24日 熊熊乐园,2017-08-05 12:25:26,2017-08-05 13:13:21,11075,2875.0
233,10013,20170805,精彩点,07月11日 熊熊乐园,2017-08-05 19:49:16,2017-08-05 20:49:12,11075,3596.0
234,10013,20170805,精彩点,06月05日 熊熊乐园,2017-08-05 14:53:25,2017-08-05 15:46:15,11075,3170.0
235,10013,20170805,精彩点,07月15日 贝肯熊,2017-08-05 21:11:12,2017-08-05 21:36:24,11075,1512.0
236,10013,20170805,精彩点,07月18日 熊熊乐园,2017-08-05 20:49:11,2017-08-05 21:11:13,11075,1322.0
237,10013,20170805,精彩点,05月26日 熊熊乐园,2017-08-05 14:05:37,2017-08-05 14:53:07,11075,2850.0
