,用户号,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号,当前套餐使用天数,入网天数
20,10208,互动电视,正常        ,20130913,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10727,1478.0,1478.0
21,10700,互动电视,正常        ,20150825,0.0,乐惠套餐-25M-1年-1380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150825,20150825,20500101,10946,767.0,767.0
22,10440,互动电视,正常        ,20140113,132.0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20140113,20140113,20500101,10688,1356.0,1356.0
23,10597,互动电视,正常        ,20141231,25.0,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141231,20141231,20500101,10823,1004.0,1004.0
24,10566,互动电视,正常        ,20141128,0.0,,互动标准包-600购机-送快乐点2年,互动600购机-26.5元-送快乐点2年-送12M体验,20141128,20141128,20500101,10232,1037.0,1037.0
25,10157,互动电视,正常        ,20171007,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130826,20130826,20500101,11072,-7.0,1496.0
26,10530,互动电视,正常        ,20140531,0.0,乐惠套餐-6M-1年-980,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140531,20140531,20500101,10839,1218.0,1218.0
27,11151,互动电视,正常        ,20161122,265.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161122,20161122,20500101,10515,312.0,312.0
28,10868,互动电视,正常        ,20170918,0.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160128,20160128,20500101,10242,12.0,611.0
29,11324,互动电视,正常        ,20160709,0.0,,互动39元包-租机,互动39元包-包月-租机,20160709,20160709,20500101,10285,448.0,448.0
30,10282,互动电视,正常        ,20131015,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131015,20150101,20500101,11097,1446.0,1446.0
31,10280,互动电视,正常        ,20131011,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131011,20131011,20500101,10597,1450.0,1450.0
32,10209,互动电视,正常        ,20140128,64.27,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130913,20130913,20500101,10160,1341.0,1478.0
33,10210,互动电视,正常        ,20140128,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10982,1341.0,1478.0
34,10179,互动电视,正常        ,20130905,0.0,6M融合套餐1(互动+宽带),互动49元包,互动49元包,20130905,20150901,20500101,10055,1486.0,1486.0
35,10180,互动电视,正常        ,20130905,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130905,20150101,20500101,10592,1486.0,1486.0
36,10154,互动电视,正常        ,20130825,140.0,月享套餐-30M-包月-89元-预存200,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20130825,20170801,20500101,11089,1497.0,1497.0
37,11315,互动电视,正常        ,20160112,0.0,乐惠套餐-25M-1年-1380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160112,20160112,20500101,10106,627.0,627.0
38,10417,互动电视,正常        ,20160301,0.0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20131229,20131229,20500101,11119,578.0,1371.0
39,10490,互动电视,正常        ,20170522,0.0,,[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还)(资费),20130817,20130817,20500101,11327,131.0,1505.0
40,11026,互动电视,正常        ,20160528,60.0,,互动59元包-600预存,互动59元包-600预存,20160528,20160528,20500101,11254,490.0,490.0
41,10918,互动电视,正常        ,20160302,0.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160302,20160302,20500101,10078,577.0,577.0
42,11318,互动电视,正常        ,20160204,0.0,乐惠套餐-20M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20160204,20170401,20500101,10096,604.0,604.0
43,11000,互动电视,正常        ,20160505,60.0,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160505,20160505,20500101,10075,513.0,513.0
44,10336,互动电视,正常        ,20131116,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131116,20131116,20500101,10573,1414.0,1414.0
45,11092,互动电视,正常        ,20160804,150.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160804,20160804,20500101,11065,422.0,422.0
46,10424,互动电视,正常        ,20150817,9.99,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20140106,20140106,20500101,10971,775.0,1363.0
47,10425,互动电视,正常        ,20150817,0.0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20140106,20140106,20500101,11325,775.0,1363.0
48,10226,互动电视,正常        ,20130918,0.0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20130918,20130918,20500101,10962,1473.0,1473.0
49,10535,互动电视,正常        ,20140624,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140624,20150101,20500101,10430,1194.0,1194.0
50,11223,互动电视,正常        ,20140420,0.0,,互动600预存-捆快乐点2年,互动600预存-26.5元-捆快乐点2年,20140420,20140420,20500101,10450,1259.0,1259.0
51,11240,互动电视,正常        ,20140526,0.0,乐惠套餐-6M-1年-980,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140526,20140526,20500101,10804,1223.0,1223.0
52,10360,互动电视,正常        ,20131128,1.0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131128,20131128,20500101,10369,1402.0,1402.0
53,10939,互动电视,正常        ,20160316,0.0,,互动59元包-600预存,互动59元包-600预存,20160316,20160316,20500101,10540,563.0,563.0
54,11003,互动电视,正常        ,20160509,60.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160509,20160509,20500101,11047,509.0,509.0
55,11059,互动电视,正常        ,20160622,90.0,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160622,20160622,20500101,10655,465.0,465.0
56,10068,互动电视,正常        ,20130722,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130722,20130722,20500101,10654,1531.0,1531.0
57,10158,互动电视,正常        ,20130826,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130826,20130826,20500101,10089,1496.0,1496.0
58,11131,互动电视,正常        ,20161026,210.0,,互动59元包-600预存,互动59元包-600预存,20161026,20161026,20500101,10972,339.0,339.0
59,10704,互动电视,正常        ,20161124,0.0,,互动标准包,互动标准包-包月-26.5元,20150828,20161101,20500101,11290,310.0,764.0
60,11181,互动电视,正常        ,20160629,90.0,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160629,20160629,20500101,10709,458.0,458.0
61,10640,互动电视,正常        ,20170927,0.0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150402,20150402,20500101,10908,3.0,912.0
62,10492,互动电视,正常        ,20160929,0.0,,[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆绑全时移回看(前三个月返还)(资费),20130824,20130824,20500101,10085,366.0,1498.0
63,10880,互动电视,正常        ,20160203,0.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160203,20160203,20500101,11145,605.0,605.0
64,10200,互动电视,正常        ,20131020,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130908,20130908,20500101,10739,1441.0,1483.0
65,10998,互动电视,正常        ,20160504,85.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160504,20160504,20500101,10407,514.0,514.0
66,10638,互动电视,正常        ,20150330,0.0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150330,20150330,20500101,10917,915.0,915.0
67,11110,互动电视,正常        ,20170722,180.0,乐惠套餐-8M-包月-69元-预存600元,互动+联合宽带-49元-月享,互动+联合宽带-49元-月享,20160922,20160922,20500101,10681,70.0,373.0
68,11106,互动电视,正常        ,20160921,180.0,,互动59元包-600预存,互动59元包-600预存,20160921,20160921,20500101,11117,374.0,374.0
69,11253,互动电视,正常        ,20140625,0.0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140625,20140625,20500101,10964,1193.0,1193.0
70,11314,互动电视,正常        ,20170716,150.0,乐惠套餐-25M-包月-109元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160109,20160109,20500101,10140,76.0,630.0
71,10402,互动电视,正常        ,20131227,0.0,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131227,20131227,20500101,11155,1373.0,1373.0
72,10445,互动电视,正常        ,20171020,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20140115,20140115,20500101,10259,-20.0,1354.0
73,10129,互动电视,正常        ,20130809,0.0,,互动49元包,互动49元包,20130809,20151001,20500101,11001,1513.0,1513.0
74,10560,互动电视,正常        ,20170423,0.0,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141124,20141124,20500101,10841,160.0,1041.0
75,10332,互动电视,正常        ,20131115,360.0,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131115,20131115,20500101,11267,1415.0,1415.0
76,11091,互动电视,正常        ,20160804,160.0,乐惠套餐-25M-包月-109元-预存600元-赠送360元分36个月返还,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160804,20160804,20500101,11169,422.0,422.0
77,11285,互动电视,正常        ,20141109,0.0,乐惠套餐-12M-3年-2180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20140905,20140905,20500101,10048,1056.0,1121.0
78,10346,互动电视,正常        ,20131123,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131123,20150101,20500101,10700,1407.0,1407.0
79,10345,互动电视,正常        ,20131123,16.09,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131123,20131123,20500101,10485,1407.0,1407.0
80,10574,互动电视,正常        ,20141217,0.0,乐惠套餐-12M-1年-1180,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-380购机,20141217,20141217,20500101,10885,1018.0,1018.0
81,10102,互动电视,正常        ,20171029,0.0,月享套餐-30M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20130728,20170901,20500101,10136,-29.0,1525.0
82,10448,互动电视,正常        ,20140117,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140117,20140117,20500101,11152,1352.0,1352.0
83,10629,互动电视,正常        ,20150214,0.0,乐惠套餐-15M-1年-1180元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150214,20150214,20500101,10902,959.0,959.0
84,10617,互动电视,正常        ,20150203,0.0,,互动标准包-600预存-送快乐点2年(到期停)-送15M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20150203,20150203,20500101,10819,970.0,970.0
85,11123,互动电视,正常        ,20161017,59.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161017,20161017,20500101,10041,348.0,348.0
86,10533,互动电视,正常        ,20140612,0.0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140612,20140612,20500101,10098,1206.0,1206.0
87,11206,互动电视,正常        ,20160305,0.0,,互动标准包,互动标准包-包月-26.5元,20160305,20170401,20500101,11266,574.0,574.0
88,10687,互动电视,正常        ,20150804,0.0,,互动59元包-480预存,互动59元包,20150804,20150804,20500101,11076,788.0,788.0
89,10259,互动电视,正常        ,20131019,0.0,6M融合套餐1(互动+宽带),互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130928,20150101,20500101,10506,1442.0,1463.0
90,10260,互动电视,正常        ,20131019,0.0,,[互动]优惠购机(388元)(26.5元/月),[互动]优惠购机(388元)(26.5元/月)(资费),20130928,20130928,20500101,10671,1442.0,1463.0
91,11251,互动电视,正常        ,20140624,0.0,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20140624,20140624,20500101,10205,1194.0,1194.0
92,11216,互动电视,正常        ,20140328,0.0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20101121,20160323,20500101,10495,1282.0,2505.0
93,10001,互动电视,正常        ,20120119,0.0,乐惠套餐-15M-3年-2080元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20060907,20150302,20500101,10922,2081.0,4041.0
94,10759,互动电视,正常        ,20151128,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20151128,20151128,20500101,10221,672.0,672.0
95,11200,互动电视,正常        ,20151021,0.0,月享套餐-30M-包月-89元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-17年月享,20141020,20171001,20500101,10818,710.0,1076.0
96,10718,互动电视,正常        ,20170824,0.0,,互动49元包-200预存-捆直播108+高清英超1年,互动49元包-200预存-捆直播108+高清英超1年,20150917,20150917,20500101,10657,37.0,744.0
97,10015,互动电视,正常        ,20140816,0.0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20070925,20140713,20500101,10129,1141.0,3658.0
98,10510,互动电视,正常        ,20121120,0.0,,预存入网(600元)(26.5元/月),互动标准包-包月-预存600,20070926,20121227,20500101,10367,1775.0,3657.0
99,10036,互动电视,正常        ,20120604,178.75,,优惠购机一(499元)(26.5元/月),优惠购机一(499元)(26.5元/月)(资费),20120604,20120604,20500101,11178,1944.0,1944.0
100,10779,互动电视,正常        ,20151228,0.0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151228,20151228,20500101,11118,642.0,642.0
101,10904,互动电视,正常        ,20170920,66.98,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160222,20160222,20500101,11200,10.0,586.0
102,10666,互动电视,正常        ,20150722,0.0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150629,20150629,20500101,10064,801.0,824.0
103,11075,互动电视,正常        ,20160714,1382.51,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160714,20160714,20500101,10013,443.0,443.0
104,11076,互动电视,正常        ,20160714,0.0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20160714,20160714,20500101,11233,443.0,443.0
105,10776,互动电视,正常        ,20151214,0.0,乐惠套餐-30M-包月-109元,互动+联合宽带-69元包-月享,互动+联合宽带-69元包-17年月享,20151214,20170401,20500101,10557,656.0,656.0
106,10610,互动电视,正常        ,20160226,0.0,乐惠套餐-15M-1年-1180元(A),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-200购机,20150119,20150119,20500101,10822,582.0,985.0
107,10848,互动电视,正常        ,20160127,0.0,,互动59元包-600预存,互动59元包-600预存,20160127,20160127,20500101,11106,612.0,612.0
108,10874,互动电视,正常        ,20160201,0.0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20160201,20160201,20500101,10368,607.0,607.0
109,10873,互动电视,正常        ,20160201,0.0,,互动59元包-600预存,互动59元包-600预存,20160201,20160201,20500101,11087,607.0,607.0
110,10813,互动电视,正常        ,20160113,0.0,乐惠套餐-25M-2年-2080元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160113,20160113,20500101,11052,626.0,626.0
111,10983,互动电视,正常        ,20160421,0.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160421,20160421,20500101,10263,527.0,527.0
112,10302,互动电视,正常        ,20131027,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131027,20131027,20500101,11100,1434.0,1434.0
113,10486,互动电视,正常        ,20140306,0.0,,互动标准包-600预存-送快乐点2年(到期停)-送15M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140306,20140306,20500101,10979,1304.0,1304.0
114,10540,互动电视,正常        ,20140805,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20140805,20150101,20500101,10363,1152.0,1152.0
115,10684,互动电视,正常        ,20151117,0.0,乐惠套餐-15M-3年-2180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150806,20150806,20500101,11088,683.0,786.0
116,10522,互动电视,正常        ,20160405,89.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160405,20160405,20500101,10653,543.0,543.0
117,10373,互动电视,正常        ,20131206,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131206,20131206,20500101,10185,1394.0,1394.0
118,11073,互动电视,正常        ,20160706,120.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160706,20160706,20500101,10984,451.0,451.0
119,10618,互动电视,正常        ,20150203,0.0,,互动标准包-600预存-送快乐点2年(到期顺延)-送15M体验,互动标准包-包月-26.5元-600预存-送快乐点2年(到期顺延)-15M体验,20150203,20150203,20500101,10899,970.0,970.0
120,10619,互动电视,正常        ,20150203,0.0,,互动标准包-388购机-送12M体验,[互动]优惠购机(388元)(26.5元/月)(资费),20150203,20150203,20500101,10898,970.0,970.0
121,10569,互动电视,正常        ,20161124,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141208,20150101,20500101,10854,310.0,1027.0
122,10570,互动电视,正常        ,20161124,0.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20141208,20150101,20500101,10862,310.0,1027.0
123,11220,互动电视,正常        ,20161123,12.51,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130605,20130605,20500101,10299,311.0,1578.0
124,10974,互动电视,正常        ,20160408,292.0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160408,20160408,20500101,10398,540.0,540.0
125,10247,互动电视,正常        ,20130924,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130924,20130924,20500101,11175,1467.0,1467.0
126,10020,互动电视,正常        ,20090125,0.0,6M融合套餐2(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20070908,20131103,20500101,11008,3170.0,3675.0
127,11038,互动电视,正常        ,20160606,90.0,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160606,20160606,20500101,10415,481.0,481.0
128,10746,互动电视,正常        ,20151103,0.0,,互动59元包-480预存,互动59元包,20151103,20151103,20500101,10184,697.0,697.0
129,10534,互动电视,正常        ,20171031,0.0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140618,20140618,20500101,10807,-31.0,1200.0
130,11101,互动电视,正常        ,20160916,180.0,,互动59元包-600预存,互动59元包-600预存,20160916,20160916,20500101,11002,379.0,379.0
131,10106,互动电视,正常        ,20130823,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130730,20130730,20500101,10399,1499.0,1523.0
132,10204,互动电视,正常        ,20171030,180.63,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130913,20130913,20500101,10992,-30.0,1478.0
133,10205,互动电视,正常        ,20171030,100.0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,11269,-30.0,1478.0
134,10615,互动电视,正常        ,20150202,107.13,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20150202,20150202,20500101,10828,971.0,971.0
135,10473,互动电视,正常        ,20140129,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20140129,20140129,20500101,10800,1340.0,1340.0
136,10353,互动电视,正常        ,20131127,0.0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131127,20131127,20500101,11161,1403.0,1403.0
137,10096,互动电视,正常        ,20130721,146.25,,互动59元包,互动59元包,20130721,20150801,20500101,10335,1532.0,1532.0
138,11196,互动电视,正常        ,20140607,0.0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140607,20140607,20500101,10864,1211.0,1211.0
139,10416,互动电视,正常        ,20170307,124.01,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131229,20131229,20500101,11016,207.0,1371.0
140,10287,互动电视,正常        ,20131023,0.0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20131023,20131023,20500101,10301,1438.0,1438.0
141,10898,互动电视,正常        ,20160215,0.0,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160215,20160215,20500101,11003,593.0,593.0
